chimera	狮头
graveness	认真
ration	定量配给
wildfire	磷火
episcopalian	主教制
glum	阴沉的
mightily	强烈地
reeducation	再教育
mesmeric	催眠术
jerk	性情古怪的人
shoebill	鲸头鹳
weedicide	除草剂
unvoiced	无声
oxidizable	可氧化
ringing	响声
evenminded	平静
careerism	追求名利
telecomputing	远程信息处理
soilless	不用泥土
chemotherapy	化学疗法
narcissistic	自我陶醉
workability	可使用性
republican	共和主义的
dyslogy	贬抑
ligan	=lagan
automatism	自动化
phytopathogen	植物病原体
rooted	确立
brokerage	经纪人之业务
venom	怨恨
mario	马里奥
unfurl	使旗招展
prebind	加固装订
qualmish	似要作呕的
undone	破灭的
fingerprint	手印
wisdom	贤人
giro	一种早期直升飞机
methodology	方法学
cyberculture	电脑化影响
cyclopaedic	渊博
overmark	给……打分过宽
nondrinking	戒酒
taberdar	牛津大学女王学院奖学金学生
fandom	运动迷
homebody	喜欢在家消遣的男人
eviscerate	凸出
nazarite	拿撒勒人
maglemosean	=Maglemosian
prevail	流行
repleviable	可发还
fake	赝造
nonrated	不列等级
lamington	巧克力椰丝方块蛋糕
adjuster	调节器
isogeneic	同基因的
buddy	伙伴
capacitivity	电容率
sadu	圣人
liveried	穿制服的
despotic	专制
spotless	没有污点
rectificative	矫正的
foundation	基础
armorbearer	武士的扈从
preatmospheric	大气形成前
arthrodial	摩动关节的
imperceptibility	细微
meniscoid	新月形
history	历史学
planet	行星
thiophenol	苯硫酚
unscrupulously	无道德原则
dart	飞快的动作
ellipsis	省略符号
unmilked	未挤奶的
rasc	Royal
administration	/网络管理
cryptogamous	隐花
counteropening	相对切口
drearily	厌倦
elicit	抽出
embarment	囚禁
cod	货到付款
gaucho	牧人
drone	低沉地说出
glyptics	宝石雕刻术
brocaded	穿锦缎
capitulary	牧师会会员
spread	摆
gimbalsring	=gimbal
irreproducible	不能繁殖
mohammedan	伊斯兰教徒
theomania	宗教狂
transilient	跳跃的
morphia	吗啡
kindling	点燃
ordinant	指示的
neglect	忽视
dilantin	苯妥英纳
dab	轻擦
average	买进
puffy	气喘吁吁
chapped	裂开
frailty	虚弱
humic	腐殖
immigrant	移来的
surrealistic	超现实主义
mainliner	主干线列车
wood	树木
briskly	活泼
exopathic	外因病
masterman	家长
romance	风流韵事
hackle	锯齿形
aqaba	亚喀巴
usher	展示
barytic	重土的
preterite	过去时态
redeemable	可收回
remoulade	加料的蛋黄酱
unsightly	不悦目的
darshan	有德
extrovertish	外向者
slowish	速度较慢的
rectifiable	可矫正的
unpitiful	无恻隐之心
decreasingly	渐减
insertion	插入
jigsaw	竖锯
unpopular	不流行的
berascal	骂某人是流氓
combatant	战斗的
viyella	维耶勒法兰绒
pie	馅饼
sound	可靠的
leechcraft	医学
falsies	假乳房
profile	剖面
carcinectomy	癌切除术
pleading	辩论
rebound	回弹
harmoniser	=harmonizer
teg	二岁羊
ricin	篦麻毒素
loose	开火
northern	北方
overextend	过分扩展
qp	pawn
gayer	快乐的
torsibility	耐扭力
actionless	静止不动的
chaeta	刚毛
cynocephalous	似犬面的
garage	放入车库
heteromorphy	=heteromorphism
irreclaimable	不能开垦的
drastic	激烈
prograde	与其他天体作同方向运行的
bilbao	毕尔巴鄂
catadioptric	兼反射光及折射光的
spread	酒席
syphiloid	梅毒状
fzs	Zoological
euphuist	用华丽的文体书写的人
hanefiyeh	洗沐喷泉
powerfully	强烈地
countermine	反地道
cocket	海关通行证
jambeau	胫甲
gingerly	小心翼翼地
cerebrate	思考
reinsurance	再保险金额
dominant	占优势
fragile	脆的
imbibition	吸取
gaited	某种步态的
digs	寓所
afore	在前
linewalker	护管道工
puberal	发育期
foldboat	折叠舟
warp	偏见
lez	女同性恋者
mixture	混合剂
eluvium	因风吹积的细砂土
radix	基数
satiation	厌腻
daffydowndilly	=daffodil
aauw	American
magnetofluidmechanic	[用作单的
radiophone	无线电话
jayvee	大学运动队第二队
majlis	议会
bezzant	=bezant
histographically	组织论
gladius	古罗马军队的短剑
shiah	什叶派
creditor	债权人
osfcw	of
compilatory	编辑的
prolongate	延长
habitability	可居住
terbia	氧化铽
prima	第一
quadrille	四人用四十张纸牌玩的牌戏
bronzy	青铜色的
incurvate	向内弯曲的
condensery	炼乳工厂
acoustic	有关声音的
pug	跟踪追寻
unvexed	不受干扰的
underclothed	穿着不暖
overtype'	NULL)
balkan	巴尔干半岛
postorbital	眼窝后部
solaceful	充满慰藉
beanpod	豆荚
acritical	不危险的
dexamethasone	氟美松
mazhabi	马扎比
conquerable	可征服
second	第二人
cardiocirculatory	心脏和循环系统
neonate	婴儿
upsurgence	=upsurge
effacement	抹消
mildness	温和
pucker	折叠
lamenting	悲伤的
unmanly	娇气的
cirrous	a
austerity	苦行
suprapersonal	超私人的
walkaway	轻易完成的事
hackneyed	常见
nationality	部落
capsulary	蒴状
wash	冲积物
tress	一绺头发
dialytic	透膜性的
ocellation	眼点
dantesque	但丁式
flatly	无力气地
ablepharous	没有眼睑
exploder	雷管
interlaced	交织的
share	一份
swallowtail	燕尾状物
wren	鹪鹩
theanthropic	把神性表现于人身的
indoors	在户内
shillingsworth	1先令钱能购买的数量
haloplankton	生长在盐质环境的浮游生物
fishkill	鱼殇
multiuser	多用户
antacid	中和酸性的
limited	狭窄
submicron	亚微细粒的
brambly	荆棘多的
washy	稀薄
caucasian	高加索的
silvicolous	居住在森林中的
yardman	调度员
leave	许可
dormantpartner	股东
glaswegian	市民
brittle	易碎的
praxis	现实
pheidippides	费迪皮迪兹
mythicism	神话的解释
tpi	Planning
inarticulately	难以表达地
logical	合乎逻辑
steady	稳固的
shvartze	=schvartze
ridiculously	可笑
algology	藻类学
twinkling	闪亮的
duchess	公爵夫人
breathless	停止呼吸
mankind	男性
baric	钡
vladimirite	针水砷钙石
dreamily	朦胧地
finical	过分注意
ably	巧妙地
yirr	咆哮
xylem	木质部
silvichemical	从树木中提炼的化学物质
autofocus	自动聚集的
acarpelous	无心皮
timbrel	小手鼓
encouragement	鼓励
shokku	轰动事件
apopetalous	离生花瓣
paperhanger	裱糊工人
huffy	发怒
equal	匹敌
fruitcake	掺有干果的糕饼
boorish	粗鄙
equiprobable	等概率的
hotel	旅馆
genuine	真正
antrustion	中世纪法兰克国王的防卫队
snuffling	假装虔诚的
cashmere	开士米织物
glamor	迷惑
sidewise	横斜的
finalist	参加决赛的选手
multidimensional	多面
humic	从腐殖质中提取
nastily	污秽地
edificatory	启迪
coccidiosis	球虫病
expenditure	支出
skibobbing	连橇运动
commanding	居高临下
ruler	划线的人
puppetoon	木偶片
ablactation	断奶
diapason	和谐
crankily	古怪
fleshy	丰满的
alkoran	可兰经
unsung	未在诗歌中歌颂过的
philippic	猛烈的抨击
kingdom	天国
shnaps	=schnapps
fellowless	没有伙伴
cherubic	天使的
uno	Nations
procural	实现
delighted	快乐
gruesome	令人厌恶
alternate	交替的
usis	United
louden	变响亮
leda	勒达
ingratiate	使迎合
capacity	接受力
railhead	尽头
terminative	结尾的
thiochrome	脱氢硫胺
anemometer	风力计
bedroom	卧室
opiology	鸦片学
sobeit	倘使
citizen	公民
allergy	敏感症
simper	假笑
felted	用毡覆盖
solstitial	至
cordis	心脏的
chiastic	交错法的
tourmalin	电气石
grungy	脏
ingratiatory	讨好
ips	每秒英寸数
worthily	正当
subcontrariety	小反对关系
ledgy	有暗礁的
untasted	未被尝过的
soluble	可溶解的
suffice	使满足
flaxseed	亚麻子
autogenesis	自发发生说
mores	民德
contain	可被……除尽
laingian	兰恩
persona	角色
try	尝试
maronite	马龙派教徒
co	central
wobbly	歪斜
gaycat	新流浪人
established	已制定
addible	可添加的
tilt	翘起
echinodermatous	棘皮类
pussycat	有毛的柔软东西
sjc	Court最高法院
diphthongise	=diphthongize
sociocracy	全民政治
posterolateral	后外侧
razzle	喧闹
triumvirate	三头政治
lactam	乳胺
silviculture	造林术
pediatrician	儿科医师
wfd	World
uruguayan	乌拉圭人
regular	有秩序的
driftwood	无用的人
physoclistous	闭鳔的
kosher	犹太教所规定允许
hyperoxide	过氧化物
lst	Standard
reaggregate	使重新积聚
incognito	隐名埋姓
hopefully	有前途
unsensible	无感觉的
expansionism	膨胀主义
myob	your
polygenesis	多源发生说
rusty	生锈
sneakingly	偷偷
nutate	俯垂
europium	铕
in	在……之内
venally	以权谋私
sprang	spring的过去式
unaffectionate	没有感情
mussulman	伊斯兰教徒的
fixer	毒贩子
pop	流行乐曲
inhabitiveness	爱家
uncontemplated	意想不到的
pettifogger	讼棍
infinitesimal	无穷小
wildfire	古时攻打敌船所用的燃料剂
honorific	敬语
beeper	能发出哔哔声音的仪器
bastardly	庶生
unlike	不同的
unexploded	未爆炸
surveyorship	测量员的地位或职务
antineutrino	反中微子
palace	宫殿
throne	君主
irreplaceable	不能调换
fillet	鱼片
necropolis	大墓地
guano	鱼肥料
victualer	供应食物者
whom	谁
imperfectness	不完善
pulchritudinous	标致的
solstitial	冬至的
viaduct	间道
nobleite	四水硼钙石
recital	独唱会
clemency	仁慈
metalloenzyme	金属酶
hyperphysical	超肉体的
recognizant	认识
frigg	弗丽嘉
vexillar	旗瓣
toft	宅
whereinto	进入哪个地方
tattered	破烂
fie	咄!呸!
spasmodical	痉挛的
wrongly	不正当地
plop	扑通落下
yesman	好好先生
sublime	崇高的
radialized	放射的
witty	诙谐
soberize	使持重
hackneyed	不新奇的
hackbut	一种老式手枪
amidah	犹太教的一种礼拜仪式
ruminatively	沉思默想
horsey	似马
wifely	妻
visuomotor	视觉眼肌运动
pop	发出爆裂声
baton	警棍
actuarial	保险精算的
bestial	残忍
ties	绑
glamorous	富有魅力的
calculated	适合的
plasmodium	变形体
circulative	循环的
bulge	膨胀
westabout	向西
countersea	逆浪
rockbound	被岩石包围的
trowel	用泥铲铲
legitimacy	合法
philanthropist	慈善家
freebooting	强盗行为
anticolonial	反殖民主义
choragus	合唱团之指挥
equilibria	均衡
spun	纺成
lawrentian	劳伦斯的
luluabourg	卢卢阿布尔(扎伊尔中南部城市卡南加
vittoria	维特多利亚
anglesite	硫酸铅矿
antiresonance	反共振
visuosensory	视觉的
solo	单独的
hospitably	招待周到地
wrb	Board
brim	满溢
acidic	酸性
tragicomedy	悲喜剧
seraphic	纯洁
vicara	维卡拉人造毛
civilized	有礼的
barracks	兵营
ommiad	=Omayyad
usga	Golf
sinitic	中国
aspirant	上进
tractably	温顺地
pinworm	一种寄生虫
downfield	在前场
prelexical	词前成分
sarcomere	肌节
bonne	女仆
polymolecular	多分子的
gym	体操
inscrutability	不能预测
enneastylos	正面有九根柱子的建筑
enforce	坚持
aggregative	集合的
unnatural	不自然
deice	除冰
sirtaki	瑟塔基舞
wilkes	威尔克斯地
angulation	有角的部位
figurehead	装饰船头的雕像
epizootiology	动物流行病学
piddle	鬼混
straddle	跨骑
winterly	冬天的
counterproductive	反生产
chillon	夏兰
rhizopodan	似根足虫纲动物
cytotoxic	细胞毒素
muff	失败
promisor	契约者
anglican	英国国教徒
unrazored	未剃过
utilitarian	功利
steerage	士官的二等室
rubdown	磨平
eudiometer	测气管
wide	张大
pelagian	远洋的
solderable	可软焊的
matronly	安祥的
deliberate	商讨
insinuate	使逐步而巧妙地取
australian	澳大利亚人
bulbiferous	生球根
james	詹姆士
setiferous	具刚毛
severity	严重
nondrinking	不喝酒
tif	Format
telegoniometer	遥测角计
transpositive	变换
unliving	无生命的
natsopa	National
harquebuss	火绳枪
shopfront	店面
foretoken	成为……之预兆
pasteurism	巴氏狂犬病预防接种法
drive	推进力
tubicolous	管栖
ghostdom	冥界
recto	纸张的正面
deflationary	物价低廉
gustav	Gustavus
scurvy	坏血病
uropod	尾足
tissular	组织
marcheshvan	=Heshvan
dmso	dimethylsulphoxide
insufflator	吹入器
longan	龙眼
offering	提供
president	会长
cuddlesome	令人想拥抱的
cloudward	朝着云
incestuous	乱伦的
hombre	男人
catenate	连接
thence	从此
shock	使震动
etymological	根据语源学的
equal	平静
kindly	和善
unequalable	比不上
homebuilt	自制的
deadsville	沉闷
splash	溅
corrodent	腐蚀的
spritz	细的喷流
actinomycotic	放射菌病
refusable	可拒绝
ostraca	ostracon
unfading	永不辜负期望的
intercollegiate	学院间的
warmish	稍为温暖的
spongiopiline	海绵毯
nighted	黑暗像夜的
burnable	燃烧
anuclear	无核的
bear	忍受
tortile	扭转
doing	行为
creasy	皱纹多的
untense	使放松
binding	装订
pdq	立刻
amimeche	ofMechanical
apiculus	小尖端
monticulate	有小山冈的
lubricious	不稳定的
stepped	行走
gameland	狩猎区
townee	镇民
unobserved	没有观察到的
antiapartheid	反种族隔离的
treat	请客
dav	Veterans
lithophytic	岩表植物的
downside	下降趋势
nondairy	非乳制的
epode	长短句交替的古代抒情诗体
random	胡乱地
faience	精巧彩色陶器
denazify	解除纳粹制度
kinase	致活酶
gravitation	引力作用
reiterant	反复的
pleximeter	叩诊板
protest	拒付
runless	无得分
belike	恐怕
pop	电子邮件协议
distrait	心不在焉
urethrotomy	尿道切开术
flak	高射炮火
democratic	民主政体
drecky	低劣
semibarbarian	半野蛮的
brinded	有斑纹的
essentic	有表情的
twine	织
sulcate	有槽的
undp	United
parageusia	味觉异常
crimped	起皱褶的
beneficial	有益的
ragamuffin	衣裳褴褛的而又肮脏的人
efflorescent	开花的
votary	信仰者
shuddering	震动
presentative	表象
encouraged	被鼓励的
stand	位于
hand	插手
domo	"笃么"士
neolith	新石器时代的石器
mayoralty	市长职位
weakliness	虚弱
buddhism	佛教
pediform	脚形
reconnaissance	搜索
courthouse	郡政府所在地
tackify	使有黏性
heatproof	抗热
succulently	有兴趣
degradation	退化
crmp	Royal
dumpy	粗短的
grutch	勉强地准许
ultraclean	特净的
diastasis	脱骱
nescient	无学
safekeeping	保护
indeterministic	非命运论者
rhodora	杜鹃之一种
carter	驾驶货车的人
intolerability	无法忍受
actualistic	现实主义
homebred	不懂世故
bastinado	打脚掌
caucasus	高加索山脉
vj	电视综艺节目主持人
brownstone	富有阶级的
gorgonia	柳珊瑚
mind	意见
ursine	熊的
trencher	有关膳食
pacesetting	定步速的
dumb	哑的
campanology	鸣钟术
recrimination	反责
hoot	嘲骂声
demivolt	马前足抬起的半转弯
inertion	迟钝
noway	一点……也不
spiffing	漂亮
intellectual	有智力的
state	政府
saltate	跳舞
unstiffen	使容易弯曲
belated	迟来的
sjambok	粗皮鞭
unmanliness	怯懦
olfactometer	嗅觉测量器
cartage	货车运费
devalorize	使减价
loan	贷款
costean	掘井勘探
elaioplast	造油体
urban	城市
sleeveless	无袖
psg	platoon
centrally	在中央
yeanling	小绵羊
dittograph	重书写
cantonization	区划化
thrasonical	沉重
electric	电
ashur	最初的首都
susceptivity	感受性
rubral	脑红核
censoriously	吹求疵
tricel	三醋酯纤维
panic	没有理由
mariticide	杀夫的人
xerothermic	适于干热环境
globeflower	金梅草属植物
curd	凝块
brachydactyl	短趾
variety	变化
mill	磨坊
condonation	赎罪
labial	嘴唇
svga	Array
triangular	三角形
ingenious	机灵
sneaky	卑鄙的
plaid	格子花呢
abcd	Accelerated
bipod	两脚台
undersong	伴唱歌
occidentally	西方
impoliticly	失策
speciate	形成物种
parvus	小
decline	下垂
washed	洗过
crackbrain	疯子
limonitic	俗褐铁矿的
obligatory	义不容辞
crustaceous	硬皮的
feces	渣滓
levantine	为特定的人举行的招待会
outroar	咆哮声音高于
condemned	被责难
remove	移交
legantine	教宗使节的
upset	倾覆
mizzen	后桅
hydroxy	羟基
distilland	被蒸馏物
garage	修车厂
peculiar	特权
whacking	巨大的
deflation	物价低廉
bottom	尽头
heatstroke	中暑
sclav	斯拉夫人的
sowntown	商业区
sweetback	情夫
dexie	右旋苯异丙胺药片
leasehold	租赁期
schnook	迟钝的人
interstitial	空隙
sneeringly	嘲笑
fount	泉
vociferance	喧嚷
alternant	交互的
amplexicaul	抱茎
wolframium	=tungsten
looie	少尉
raggedness	破烂
cruciate	十字形的
coccidology	介壳虫学
thin	细
wallsend	沃尔森德
socialize	使社会主义化
reversionary	倒退的
sap	笨人
immure	禁闭
absorption	吸收
bulbous	球根状的
metalware	金属器皿
pregnable	可受孕的
sunken	凹陷
labionasal	唇鼻音的
ihp	indicated
slade	Artists
flickering	一闪一闪的
disallowable	可拒绝的
volute	涡螺
counterweight	平衡物
bimillennial	两千周年
ooze	软泥
semiotic	症状的
emulable	可仿效
recollectedness	镇定
nobble	诈骗
cuckold	有不贞妻子的男人
undervalue	低估
fountainous	泉源的
hoggin	含沙碎石
manganese	锰
afc	A
cottier	佃农
wrapper	包装纸
strafe	猛烈炮轰
squitch	匍匐冰草
integrand	被积函数
qbasic	Qbasic语言
paediatric	儿科医学的
shift	移转
canyon	溪谷
omicron	字
passee	已过盛年
loudly	大声地
catholic	天主教
inflictable	可处的
rumina	的复数
anhydration	脱水
faa	Aviation
gamophyllous	叶子相连
catboat	独桅艇
moonshiny	月照似的
pronephros	前肾
pronucleus	生殖核
pythonic	神谕的
ephemeral	短暂的
physician	医师
longtime	长时间
phonomania	杀人狂
zygote	受精卵
flack	对空炮火
nce	New
grisliness	厉害的
besmear	弄脏
evenness	平等
ana	名言集
schoolcraft	学校教的知识
tanglesome	复杂的
marsupial	有袋动物
chromogenic	发色的
excurved	往外弯曲的
ipecac	吐根树
fijian	斐济语的
edifying	有教训意味
favorable	赞许的
agonic	不成角的
gramary	魔法
sensually	官能
polocyte	=polar
eyedropper	点眼药器
trial	审讯
centennial	一百年
aviette	小型滑翔机
barred	隔绝
neophilia	对新事物的强烈兴趣
coincident	巧合
orchis	兰花
fleabane	飞蓬
agname	绰号
longton	Hall朗顿瓷
bowed	弯如弓的
promptive	推动
maldives	马尔代夫
chipper	使高兴起来
pedaguese	=pedagese
veritas	真实
header	首领
pantological	人类全部知识
neighborite	氟镁钠石
clasp	紧握
unmotherly	不像母亲的
tumultuate	使骚乱
antagonise	使敌对
effulge	照耀
pettifoggery	欺瞒
ciphony	密码电话学
examinationism	主张考试制度者
proclinate	向前的
reentrant	再进去
resume	再用
sponsorial	保证人的
pouch	使成袋状
skywriting	空中文字
derivation	语源
unspeakable	不能以言语表达
vdr	Recorder
cfc	氟氯化碳
punctuate	加标点
interpenetrate	互相贯通
unacquirable	学不到
iterant	重复的
canvasser	兜揽生意的人
pontifical	主教的
sugar	糖
chromatist	色彩学家
satisfy	满意
sterling	纯银制的
papal	教皇制度的
charity	慈善团体
crocean	克罗齐精神哲学
strati	stratus
aggressively	侵略地
unrazored	未修剪过的
felicitous	可喜的
scuttle	毁坏
flatter	阿谀
autotext	自动图文集
wampish	前后摇摆
jazz	喧吵
trinal	三倍的
susceptive	感受性强的
above	上述的
crusado	有十字架花样的银币
apiarist	养蜂家
sheepman	牧羊业者
pecuniarily	在金钱上
notionate	倔强
beravement	丧事
diagonal	斜的
phytotoxicity	危害植物的毒性
raft	筏运
lonely	偏僻的
expertly	熟练地
tapper	轻敲者
purulence	流脓
astrometer	天体光度计
geodimeter	光电测距仪
minnie	女人名
hypophoria	下隐斜视
anonymous	匿名的
bleary	朦胧
louie	=looie
pawner	交当人
unplagued	未受折磨
suramin	苏拉明
boilover	爆冷门的结果
body	肉体
kudzu	野葛
malarkey	胡说
recently	最近
blowout	喷出
transpersonal	超越个人
ligamental	韧带
whopping	庞大
color	粉饰
mundic	=pyrites
canulate	管状
mynah	八哥
vigneron	葡萄种植人
deliverly	灵巧
eisa	Industry
icrp	on
teriyaki	红烧
tactful	圆滑
fawny	近浅黄褐色
byzantine	拜占庭式
macrocytosis	大红细胞症
lyra	天琴座
oos	Of
amplectant	攀附
euchre	一种纸牌玩法
tamely	没骨气
appulse	撞击
unionization	结合
hermetic	与外界隔绝
kayak	皮船
service	服务性工作
pathogen	病菌
proruption	突出
anthropological	人类学的
pronominal	代名词
fusion	熔接
hyoid	舌骨
filmmaking	制片
lyophiled	用低压冻干法取得的
limitary	限制的
optically	眼睛地
strip	剥
munitionment	军需品
accessible	易受影响
flare	闪光
strife	斗争
hetero	异性恋的
scummy	浮渣般的
roseate	玫瑰色的
unexacting	容易的
particularism	特殊神宠论
tridigitate	有三趾
unproposed	未提议
theory	原理
interspatial	层际空间的
indispensable	不可缺少之物
pharyngoscopy	咽镜检查
community	团体
having	持有
sexism	男性至上主义
paracusis	听觉倒错
calx	金属灰
wisdom	至理名言
papillary	乳突的
hankerchief	手帕
blinding	使眩目
uxoriously	顺从妻子
sicko	道德败坏的人
fond	喜爱的
sismogram	=seismogram
circe	瑟茜
nontelevised	不看电视
existential	有关存在
stalagmometer	滴重计
katzenjammer	滑稽的模仿
unobjectionable	不会招致反对
aftergrass	割后再生的草
cuddly	令人想拥抱的
conferrence	授予
gadgety	小配件
ararat	阿勒山
neurogram	印迹
rugged	高低不平的
mouse	鼠
rimless	无边
analogically	类推地
inventor	发明家
algous	藻类
sententious	简洁
pinko	左倾分子
undp	联合国开发计划署
matey	友好的
unthanked	未受答谢的
barquentine	三桅船
propagandism	宣传
sawder	恭维
jiggers	注意
semiscientific	半科学的
bronchoscope	气管镜
ependymal	室管膜的
acquired	已获得的
reive	掠夺
uniparental	单性生殖
outsang	的过去式
noncarcinogenic	不促成癌
orient	灿烂的
tmo	money
dardic	达尔德语
pappy	半流质
scotomization	精神"盲点"形成
bomblet	小炸弹
narcolept	发作性睡病患者
physiognomy	相面术
unbiased	没有偏见
belike	或许
schweiz	=Switzerland
elevatory	向上举
circumfusion	围绕
finical	过分讲究的
inharmony	不和谐
unpliant	不柔顺的
depancreatize	截除胰腺
pneumatograph	=pneumograph
silvester	西尔维斯特
atwitter	紧张
wasteweir	退水堰
unburned	未燃的
filtration	过滤
nephrology	肾脏学
californicate	以都市化和工业化毁坏的自然景色
labile	易发生变化
blunderingly	浮躁地
routine	常规
farmy	有农场
mulloway	石首鱼
unyieldingness	不屈服
dad	爹爹
bungaloid	平房式的
monothematic	单主题的
unfriendly	不友善
soppy	湿透
noninstallment	一次付清的
intertidal	高潮线与低潮线之间
hvar	aircraft
castaly	灵感的源泉
inseverably	不可分离地
bleaching	漂白法
septangular	七边形
uncontroverted	无可争辩的
melange	混色纱
absence	缺乏
counterpoise	平均
adream	做梦的
wisdom	智慧
interpolatory	插入的
bale	打包
mussulman	伊斯兰教徒
guiltless	无罪
listen	听从
sacchariferous	含糖的
iaz	inner
infauna	底内动物
beverage	饮料
yokelish	乡下人
pacesetting	领头的
crazyweed	=locoweed
pythogenous	腐生
olg	Old
cashew	腰果
shareable	可分担的
eleemosynary	接受接济
underran	underrun之过去式
glyceraldehyde	甘油醛
militant	积极从事或支持使用武力
falconiform	隼形目的
tupian	图皮语
glaringness	耀眼
lexan	莱克桑
langobardic	伦巴第语
leprophil	亲麻风病者
equalitarian	平均主义者
scraping	吝啬
digastric	二腹
quacksalver	骗子
rough	粗略
icu	unit
interpunction	标点符号
vegetative	植物的
querist	质问者
artificial	非原产地的
gaffer	老人
unharmful	无害
polycarpous	多心皮的
yokemate	同事
horsey	马
cylinder	圆柱体
null	无效
underslung	装于车轴之弹簧上的
participatory	供人分享
help	款待
remilitarization	重整军备
prenomen	=praenomen
sinless	无罪
colorimeter	色量计
jacinthe	淡橘红色
filemot	褐色的
rasc	皇家陆军补给与运输勤务队
interpandemic	流行病两次暴发之间
aplastic	成长不全
happenstantial	偶然发生的
molucan	摩鹿加人
hemmer	缝边者
acolyte	助手
crazed	疯狂的
insipidness	清淡
pelvimeter	骨盆测量器
nas	Network
technic	手法
groin	腹股沟
cornish	康沃尔人的
bedtiime	就寝时间
recessionary	衰退期的
northwesternmost	最西北
hydrosulfurous	连二亚硫酸
birdy	如鸟
gouge	用圆凿子削除
aslope	成斜坡的
malleable	可锻的
unclassical	非经典
olympiad	奥林匹克世界运动大会
assessor	估税员
tapotement	轻叩式按摩法
peremptoriness	强制
receivable	可接受
zoophytology	植形动物学
desuetude	废止
starveling	饿瘦了的人
overfull	过多的
gadgety	小配件的
unpaired	无对手的
abridge	削减
commoner	有共用权者
rattling	活泼
dint	凹痕
microphyll	小型叶
ourari	=curare
inositol	肌糖
astonied	大吃一惊的
pulmotor	人工呼吸器
oneirology	梦学
cellulase	木纤维质酵素
minatory	威胁的
harmonious	和谐
exserviee	退役的
uscf	States
bowl	滚
poetics	诗法
yodization	=yotization
sting	针刺
orotund	响朗
bedload	泥沙等
radioscopy	放射线透视
planetary	行星的
inaccurate	不准确
abiogeny	自然发生论
philogynous	爱慕女子的
loose	放枪
subcontract	转包合同
slickness	巧妙
autoflare	自动拉平装置
dun	催讨
cracking	破裂
determinant	决定性的
triplication	三倍的东西
heterotrophic	不是自养
floriferous	花盛开
deprecatory	不赞成
compandor	=compander
computative	推算
fireflooding	火驱
influence	感化
aal	ATM
dentistry	牙科
indescribability	不可名状
chordee	勃起性淋病
joint	生节
countershaft	副轴
nationhood	作为一个国家的地位
rhinal	鼻腔的
millennia	millennium的复数
underlay	衬垫物
fertility	多产
vhf	Frequency
prolegomenon	序论
recognise	认可
rendering	表现
distad	向远侧
swink	辛劳
haply	偶然
zigzag	成Z字形
luxate	使骨脱节
impotable	不能饮用
daftly	癫狂地
hormonal	荷尔蒙的
intolerant	偏狭的
cranky	任性
rct	Transport
bemuddle	混淆
leave	生叶
estimate	估计
bobette	博贝特
trousers	长裤
nyc	New
immetrical	无韵律的
wobble	摇晃
briton	大不列颠人
subterminal	几乎在末端
gom	Old
unabiding	短暂
comb	搜索
universal	宇宙的
rattlebrained	愚蠢多嘴
recover	重新获
underproduce	生产供不应求
stethoscope	用听诊器诊断
encyclopaedic	百科全书式的
totalitarianize	使极权主义化
vociferously	吵闹
buic	Backup
ruggedize	使耐用
inaudibly	不可闻
feudally	如封建
colostrum	初乳
lepidopterous	鳞翅类的
untread	折回
thundering	异乎寻常
superscript	写在上边的
unlearned	天然
biogeography	生物地理学
aerobody	轻于空气的飞行器
husky	像谷
munga	食物
transpire	蒸发
charry	炭
slack	疏忽
whirlybird	直升飞机
fire	炮火
reefer	大麻卷烟
exsertile	可突出的
memomotion	慢速摄影
dusky	微暗
lycian	利西亚人
sickly	苍白的
acarpous	无果实
acronical	日落时发生
daee	engineering
benedick	有妻室者
urticaceous	荨麻科植物的
sunfed	Fund
iaf	International
sublime	顶点
sasanian	=Sassanid
osteria	旅店
erective	直立
unexacting	容易
colza	菜种
levogyrate	左旋
overbought	超购
tzarina	沙皇皇后称号
unbelonging	不属于……
buirdly	强健的
encipher	译成密码
spurrier	马刺制造者
particulate	微粒的
cymling	一种白绿色扁圆之南瓜
undependable	不可信赖的
tritiate	使与氚混合
igneous	火成
gladsome	令人高兴
flutter	烦扰
commit	提交
eudipleural	两部对应的
ordinal	仪式书
uncarpeted	未铺地毯的
nacreous	有光彩
handle	买卖
pottage	浓汤
like	相似
carnivore	食肉类
london	伦敦
joggle	啮合
renew	使恢复
osfcw	Solid
invariablenes	恒定
tantalus	酒瓶架的一种
significs	语义学
aridity	干旱
expressly	清楚
sitting	孵卵
songlike	像歌
usmcr	States
productile	可拉长的
iamap	Meteorology
promethean	Prometheus
clubland	俱乐部街
unpliant	不易弯折
moistureproof	防潮的
anepigraphic	没有刻字
thereby	因此
kilchoanite	斜方硅钙石
capillary	毛细管
kbp	王翼象前兵
levity	轻浮
nucleolar	核仁
inhabitant	居民
unroyal	不是王室的
mailer	邮寄广告性印刷品
grandiloquent	夸张
influence	影响
rightly	恰当地
santir	萨恩蒂厄琴
fellow	同伴
incontinence	无节制
kirlian	基尔良的
interlacustrine	位于湖泊间的
untamable	不可驯养的
prediabetic	前驱糖尿病的
knuckleballer	不旋转球投手
oa	办公自动化
readily	欣然
inhumanly	无人情味
died	死亡
os	Operating
turgor	夸张
coercivity	矫顽性
atop	在顶上
ephemeron	蜉蝣
erring	做错事的
compere	主持人
cot	轻便小床
tetraonid	鸡形目禽鸟科
unbeliever	不信仰者
