saltimbocca	意式煎小牛肉火腿卷
ester	酯
skateboard	溜冰板
perforative	能穿孔
tribulate	给……磨难
monadelphous	单体雄蕊的
organometallic	有机金属的
plasma	等离子区
dexamphetamine	右旋安非他明
chronologer	年代学者
lodgeable	可寄宿的
reliquary	遗骨匣
danthonia	扁芒草属植物
verbose	详细
vile	可憎
castellan	城堡主
debark	登陆
spirituelle	愉快的
institutional	制度上
unreceptive	接受能力不强
spatter	溅污
wave	示意
repousse	金属细工的
dantean	但丁
hottish	热乎乎的
marchioness	女侯爵
amos	中的一卷
clc	Labour
raving	疯话
fluky	侥幸
sound	健全的
supercontinent	超大陆
entertaining	愉快的
petechial	瘀斑的
joning	骂人取笑游戏
pool	采掘
towpath	牵道
doited	昏头
progesterone	孕酮
owi	War
classify	分等
rimester	作诗者
ajc	澳大利亚赛马俱乐部
icrp	国际辐射防护委员会
goody	好呀!
lending	出借
strait	艰难
imbed	埋藏
kitchensink	刻划现代生活不光明的一面的
unfrequent	不常发生
mime	模仿
flocculi	谱斑
engagement	雇拥
studious	勤学
disappointedly	失望
tacit	默许
spasmodic	痉挛
former	从前的
tap	敲打出
magnificence	富丽堂皇
ganaderia	牧场
capacitance	容量
pomology	果树栽培
lcf	最小公因子
xml	Markup
widf	Women''s
lulu	卓越的人
holily	神圣
involuntarily	不知不觉地
salvable	可救
diphyletic	来自二个祖先
fcis	of
isochromatic	等色的
thinnish	较瘦的
reimportation	再输入
numnah	鞍垫
discifloral	盘状花
escuage	兵役
tutor	助教
refutable	可驳倒的
valorisation	=valorization
rollicking	嬉戏耍闹作乐
devolute	转移
ciphering	计算
trifoliolate	有三小叶的
quadripartite	由四部组成
affiance	使订婚
chekhovian	契可夫
magnesian	氧化镁
altar	祈祷祭拜的地方
sanative	有益于健康
nauseate	产生恶感
frith	河口
cone	圆锥体
misesteem	对……不尊重
complicit	串通一气的
pumpman	唧筒工
disposed	有某种健康状态的
circumlunar	绕月球运动
dprk	朝鲜民主主义人民共和国
knit	编织
bestial	兽性
mecklenburg	梅克伦堡州
amitrole	杀草强
triamcinolone	氟羟强的松龙
repossess	收回
sociable	喜欢群居
sabbatise	=Sabbatize
ripsaw	粗齿锯
rewardless	无报酬的
sabotage	怠工
brimstony	似地狱
zinky	锌制
annexure	附录
resorption	再吞
simpleminded	纯朴的
improvisatory	即席
sidesplitting	令人捧腹大笑
eva	女子名
toadeating	奉承
smd	Music
vii	罗马数字
muliebral	女性
conformability	一致性
wolframite	钨锰铁矿
educator	教育家
lanthanide	原子序数
platonize	信奉柏拉图哲学
montpellier	蒙彼利埃
impetuous	冲动
vop	o
propyl	丙基
greenyard	走失牲畜待领场
emancipate	解放
diction	措辞
leal	诚实的
leafy	多叶的
eastwardly	向东的
voluntary	自发的
advance	提前
euphonize	美化语调
ogle	眉目传情
symmetric	相称性的
hurried	匆忙
quadricorn	四角动物
farrago	混杂物
pfc	first
sophisticate	精于……之道的人
praetorian	执政官
swat	特种战争装甲运输车
excessively	过分地
gimmicky	巧妙手法的
andiron	柴架
striate	有细槽的
ventromedial	腹正中
unwrung	不感到苦恼
wherethrough	经此
mlf	force
everlasting	永恒
chassid	=Hasid
fetch	到达
bathhouse	更衣室
bang	重击
son	孩子
anxiously	忧虑地
zygosis	接合
coronach	葬歌
semidomestic	半驯养的
liquefier	液化器
sodomist	口交者
furthermost	最远的
goodbye	再见
hydroscope	深水望远镜
overleaf	在次页
epeirogenic	造陆作用
newsmonger	爱传播新闻的人
infelicific	招致不幸
eec	Exhaust
underivative	非模仿他人的
reprobative	责备的
sputnik	人造地球卫星
mulatto	白黑混血儿的
amalgamator	混汞机
soccage	农役租佃
epigrammatist	警句家
diffused	扩散
ductile	柔软的
unequaled	无比
kitling	顽皮
secularity	世俗主义
fibrocystic	纤维囊性的
scutellum	小盾板
fortuitous	幸运
rewake	再次意识
megadalton	兆道尔顿
psalterion	=psaltery
parlourmaid	客厅女侍
electriferous	传电
invalid	残废
gimme	=give
exponible	可说明的命题
fumble	摸索
anus	肛门
carroty	胡萝卜色
fly	飞翔
gastrostomy	胃造口术
salicornia	海蓬子属植物
manganin	锰镍铜合金
viscoidal	有黏性的
toxaphene	毒杀芬
massotherapy	按摩疗法
shaky	虚弱的
prelatism	主教制
centuplicate	百分
mesenchymatous	由间叶细胞组成的
gastroesophageal	胃食管的
indolence	好逸恶劳
quaint	离奇有趣
artistically	在艺术上
sincere	真诚的
columbine	鸽的
magnetochemistry	磁化学
conduit	管道
gis	地理信息系统
rhinologist	鼻科医生
sparmate	partner
smooth	平稳
ciaa	Central
longipennate	有长翅
orchestration	管弦乐作曲法
lissome	敏捷的
semiology	记号语言
zootechnics	畜牧学
phenacetin	乙酰对氨苯乙醚
bobbly	跳动
honeyed	多蜜
homy	家庭般
outnumber	比……多
zaqaziq	=Zagazig
monozygotic	单卵
soulful	感情上的
neurohypophysis	脑下垂体后叶
worry	撕咬
joyful	快乐的
aconite	乌头
dodgy	会推托的
aeolic	伊欧里斯的
picket	支柱
indubitable	不容置疑
unsharp	不清晰的
burnable	可燃的
fainaigue	骗人
sceptre	笏
triaxial	三维
tinge	淡色
dauber	拙劣的画匠
clocklike	准时的
intracranial	颅骨内的
quadruply	四倍
politesse	礼节
bluster	咆哮
passerine	雀形目鸟
slip	活络
irisher	爱尔兰人
quibblingly	推诿地
lenitive	缓解疼痛
ornamental	装饰
arisen	兴起的
bashfully	内向地
disorganized	紊乱
slaky	泥泞
incorporator	法人创立者
numazu	沼津
dilaceration	弯曲牙
unco	不知名
virogenic	病毒所致
shoulder	肩部
lapicide	碑文雕刻工
transient	瞬时的
febrific	发烧
draggle	落后
reentry	再进
hieroglyphist	书写象形文字者
uncontrollable	无法控制的
sarcomagenic	致肉瘤的
unburnt	=unburned
chlorinous	含氯的
airfight	空战
breathless	死
dominical	基督的
toothy	露出牙齿的
inactivity	休止状态
hemostasis	止血
glassmaker	玻璃工人
favoringly	顺利
unmanly	无男子气概的
hegemonist	霸权主义者
kutien	见Gutian
belcher	彩色围巾
communally	公有地
muscalure	家蝇引诱剂
apractic	运用不能症的
pockmarked	有痘疮
pincette	小钳子
toynbeean	汤因比的
nephograph	云图拍摄机
sporotrichosis	孢子丝菌病
educable	可教育的
perch	河鲈
tactic	战略
willowy	有弹性的
cacodylic	二甲砷基
unexpectable	不可预言的
deft	灵巧
dolichocranic	长颅
interstage	级际
baldish	无草木的
mercy	怜悯
obituary	死亡的
caterwaul	刺耳的尖叫声
economical	节约
puritan	清教徒
ensanguined	满身染血
distributism	分产主义
aristocratic	贵族化的
walkathon	步行马拉松
punishment	处罚
around	到处
quingentenary	第五百年
palpal	须
botfly	马蝇
presentive	表意
dispossessed	被逐出
character	人物
catacombs	地下墓穴
epitope	抗原决定部位
unabroken	完整
galvanic	流电
ruddle	用红土做记号
retune	重新调整
thingummy	某人
mac	Airlift
diplon	重氢子
acquittance	偿清
melange	杂乱的一群
secretarial	秘书的
camphine	精制松脂
rachilla	小穗轴
enlighten	开导
wakeful	觉醒
trooper	骑警
superexcellent	极好
tectogenesis	构造运动
oestrus	发情
peacockery	虚荣
ideational	观念
calaboose	监狱
superable	可征服
africa	非洲
transmutative	变质的
reinvigorate	使复兴
unitary	单一的
untalented	缺乏才能
honeylipped	甜言蜜语的
sourish	微酸
ter	三次
oxaloacetic	草酰乙酸的
recurrent	再发生
chorology	分布论
swat	Transporter
uncalculating	不审慎
neck	颈壮物
seafront	沿海岸而筑的马路
xi	希腊字母的第14个字母
malicious	怀恶意
mow	扫倒
suitable	相配的
autofocus	自动聚焦装置
coequally	平等
graticulate	把
allay	减少
zoantharia	花珊瑚类
bargeboard	山形墙桁端的盖板
transposal	调换
polka	女用紧身短上衣
oneparty	一党
esne	奴仆
pietistic	虔诚的
remediably	可救济
crapoid	=crappy
fervor	热情
fetch	取物
scurviness	卑鄙
agent	代理
spandy	时髦的
spirit	情绪
verriculate	具毛簇
frenzied	激怒的
organist	风琴弹奏者
jadishly	下贱地
soap	Simple
trusting	信赖的
decidedly	果断
rodman	标尺手
ambit	范围
deep	难懂
inapparent	不明显的
spandy	时髦
epizoology	=epizootiology
dazibao	大字报
perugia	佩鲁贾
con	控制台
intercollegiate	学院间
bonhomie	温和
subvert	推翻
capernaum	迦百农
electrocute	处电刑
rope	围起
piracy	侵犯版权
kohlrabi	大头菜
wakefully	睡不着
beastly	如野兽的
ministerial	部
gastrocamera	胃内照相机
spasmodical	间歇性的
tribunary	保民官
overtaken	overtake的过去分词
cleistogamous	闭花受胎
tgv	巴黎
heelball	鞋油的一种
under	假借
transmembrane	横跨膜的
ba	钡
tax	责备
sedulous	坚韧不拔的
tsingtao	青岛
daughterhood	女儿身份
reliably	可靠性
rogallist	罗加洛回收翼伞驾驶员
carcinology	蟹学
regenerative	更生的
unwavering	坚定的
arraign	提问
desulfurize	去硫
decertify	收回……的证件
fathom	进行探索
separator	分离者
neoconservative	新保守主义者
engineer	轮机员
dr	Refresh
acrostic	离合诗的
consubstantiate	使成同体
merlin	隼
glamourpuss	面貌动人的人
napery	家用亚麻布
honorand	荣获名誉学位之人
msph	Science
wfdy	Democratic
contradictious	爱反对的
object	对象
stippling	点刻法
declaim	高声朗读
hortative	奖励的
schwa	中性元音的名称
indispose	厌恶
gerontine	肝胺
composedly	沉着地
pinup	钉在墙上的
chelyabinsk	车里雅宾斯克
unprincely	不高贵
schmutz	垃圾
uncreated	自存的
suck	吮
filicin	绵马浸质
tabnab	蛋糕
inerrably	确实
ingenuous	直率
typhoidal	类伤寒
placeseeker	追求官位者
brawl	争吵
indirectly	间接
gracious	亲切
makeshift	权宜之计
westbound	西行的
underslept	的过去式和过去分词
factory	商住花园外的代理
chloe	克洛伊
locrian	洛克里斯的
maritsa	马里查河
rascal	下贱
cardiography	心动描记法
espouse	支持
avowed	自认
scs	Service
depersonalization	人格解体
campesino	农场工作人员
oracle	也是主要的网络计算机的倡导者
phototube	光电器
dinner	正餐
aluminize	以铝处理
puy	死火山锥
serous	如水的
pedant	学究式人物
minisub	小型潜艇
farsi	波斯语
amalgam	汞合金
refugo	绝缘用的软木
backstage	在后台
elusory	难以捉摸的
dissembler	伪善者
gambian	冈比亚的
rrl	Remote
certificate	发给证明书
remediably	可治疗
genial	亲切
gaskin	束帆带
site	定……的地点
hearten	振奋
protestatory	表示抗议的
dastard	胆小的人
endemical	=endemic
xql	Query
cinc	Commander
ineradicable	不能根除的
re	铼
emetic	催吐剂
cried	cry
dmd	Digital
photopia	明视觉
vile	可耻
cleanser	使清洁的东西
fastness	牢固
andantino	微急
hangsman	执行绞刑者
resolvability	可分解性
absorberman	管理吸收器的人
smudge	用浓烟熏
unclinch	放开
healable	可治好的
diversionist	阴谋破坏者
ripply	波纹状的
unpicturesque	不似画
asseveration	誓言
usis	States
archaeoastronomy	考古天文学
inorganizable	无法组织
incurable	不能治愈的
fibrinoid	纤维蛋白样
lablab	扁豆属藤类植物
prematurely	早熟
solfeggio	视唱练习
irrationalism	反理性主义
choleraic	类似霍乱的
toolshed	工具房
antespring	预期的春天
enflower	饰以花
phenoxy	含苯氧基
disparagement	轻蔑
miniminded	愚蠢
redistribution	再莍st/9ri:dIstrI`b
sonovox	口声效果装置
cheesecloth	一种粗棉布
aphorist	警句家
stereoscopically	实立体镜
assaying	试金
onward	在前面
vtp	VLAN
metaxenia	果实直感
discrown	罢黜……的王位
newfashioned	新式
adrift	随波逐流地
injun	印第安人
egyptian	埃及
benefic	行善
ectotrophic	外生的
churn	搅拌
fix	凝视
unapprehensive	不怀疑的
bargain	契约
polypragmatical	爱干涉
thin	稀少的
patulous	扩展的
migratory	流浪
valsalva	咽鼓管充气检查法
benedictional	赐福
cussed	固执的
interlanguage	人工辅助语言
denominative	有名称的
hobodom	游民阶层
raised	浮雕的
prostitution	堕落
responsible	有责任的
unslum	拆除
maladaptive	适应不良
covenant	契约
ruskinize	的艺术信条
ankylosis	僵硬
effable	可表达
phillipsite	钙十字沸石
coelenterate	腔肠动物
sermonesque	讲道的
cajolery	诱骗
owing	该付
byr	billion
sublimate	高尚
indigotin	靛青
amandine	含有杏仁
welldoing	做好事的
malnourished	营养不良的
roed	腹内充满卵的
egyptian	埃及的
hyphal	菌丝的
pseudograph	伪书
fulminating	暴发性的
communicative	无隐讳交谈
drafter	起草者
sinhalese	僧伽罗人
tuft	丛生
preludio	前奏曲
gmwu	General
jcr	学生公用室
araneidan	蜘蛛
gain	赚到
amenable	有责任的
lyase	裂解酶
occurent	正在发生的
algebraical	代数
commemoratory	=commemorative
powerpc	IBM和Apple公司联合生产的个人台式机
giggly	吃吃笑的
chicom	中共分子
calf	小牛
dissatisfy	使感觉不满
introit	入祭文
phantomlike	幽灵似地
concupiscent	沉迷情欲的
vdr	Video
phene	苯
gsc	Staff
undelighting	令人不愉快
planetarium	行星仪
mundane	世界
dohc	double
coralline	珊瑚的
drillship	海底钻油船
rider	骑手
phenomenal	显著
overlord	最高统治主
regenerator	再生器
salicaceous	杨柳科的
undecided	不稳定
sportswriting	体育新闻的写作
inharmony	不协调
cno	Naval
unshirted	不穿衬衫
cholla	仙人掌的一种
apterygial	无翼
polluted	玷污
paralytic	瘫痪
brimfull	盈满的
ruler	尺
scramble	使混杂
proser	写平凡琐事的人
kiska	吉斯卡岛
ambidexter	诡诈者
dunkirk	敦克尔克
anality	肛门性欲
habenula	松果体缰
thule	古人相信存在于世界北端的国家
stair	一级
sale	卖出
cathedra	权威人士的地位
vibrato	振动
soli	独奏曲
abject	可怜
motherfucking	讨厌
hectic	肺病
since	自……以后
eventual	终于
hippomanic	有爱马癖的
accra	阿克拉
dinosauric	庞大
twigged	有细枝
miserable	悲惨的
derma	真皮
myxomatosis	多发粘液瘤病
cnd	for
substitute	代替者
cubic	立方
berberis	小檗属植物
compulsorily	强迫
illuminant	发光体
finfooted	蹼足的
favorably	顺利地
electroencephalogram	en5sefElEJ^rB:f/rEJen9sefElE`^rAEJen9sefE`lC^rEf脑电图学缌魍
superindividual	超个体
uncontradictable	不能反驳
armory	军械库
rigescence	僵化
promissory	允诺
covary	共变
limbo	监狱
magic	不可思议的
assumpsit	约定
rhizopod	根足虫
trammel	束缚物
cogitator	深思熟虑的人
virology	滤过性微生物学
compartment	间隔间
cyclopaedic	百科辞典
preharvest	收获期前的
stevedore	搬运工
mugient	哞哞叫的
correlation	相关
maungy	坏脾气
censure	责难
misleading	令人误解的
adding	加
dermatosis	皮肤病
bachian	巴赫的追随者
intercostal	脉间的
fast	忠实
amniotic	有羊膜
tambura	=tamboura
chowmatistic	理财学
phidippides	即Pheidippides
tussah	柞蚕
nondurable	不耐用
twister	缠绕机
spark	电信技师
chapel	礼拜
ssa	Social
mesotrophic	中营养
difference	差动
peduncle	梗
procural	取得
thump	重击
loader	装弹机
unseemly	不恰当的
degras	egras
helpless	没用
previse	预先警告
polymethyl	methacrylate
cyclopaedist	百科全书编者
kaapstad	=Cape
polyclonal	多克隆
outdoor	室外的
monostabillity	单稳态
capacity	地位
stripy	有条纹的
togavirus	外衣病毒
graciously	和蔼
hurrier	匆忙的人
equipotential	有相等潜力的
notabilia	值得注意的事物
damson	西洋李子
yarage	操纵灵活性
rattleheaded	头脑空虚
foots	沉淀物
prey	被掠食者
curvirostral	具曲喙的
hadorwould	将
recrudesce	再发作
diploma	奖状
unabridged	未经删节的
viewsite	风景好的选址
deserved	应得的
stupidly	愚蠢地
cimex	臭虫
tetraspore	四分胞子
ostracize	贝壳放逐法
pilotless	无驾驶员
flapdoodle	胡说
diastolic	心脏舒张
magnisonant	高调的
skeetshoot	作双向飞碟射击
rectify	精馏
radiator	散热器
deliquescent	溶解的
thin	变薄
cribrose	有小孔
chansonnier	歌手
refrigeration	冷藏
praepostor	指导生
myocyte	肌细胞
lappic	拉普兰的
redbrick	新学院
electrocute	触电致死
stillborn	死产
pericardiocentesis	心包穿刺术
snack	小吃
preterlegal	超过法律范围
nok	kin
rifacimento	改写
unskilful	笨拙的
loud	大声
ternate	三个
reprocessed	再经过加工
shield	防护
falchion	略具弯形的大刀
aiff	开发的非压缩声音文件格式。
waldenstrom	瓦尔登斯特伦病
aw	Aruba
motionless	静止的
green	绿色颜料
abolitionist	废除主义者
anorthic	三斜的
come	到达
unleavened	没放酵粉
loppy	无力地下垂
stand	立场
arvo	下午
spoony	多愁善感
presumable	可假定
oligocarpous	几乎没有果实
unsaleable	非卖品
calathos	花瓶式果篮
deanglicize	消除……的英国影响
abyssalbenthic	深海海底的
internalise	使成为主观
amnion	胞衣
levantine	堤
hemocytoblastic	血胚细胞的
aspi	SCSI
infructuous	徒劳
mwa	America
jewelly	戴手饰的
moisturize	使增加水分
oujda	乌杰达
romping	乱蹦乱闹
kakinada	卡基纳达
evangelic	福音的
barology	重力学
scv	南部联盟士兵遗孤组织
nibble	吹毛求疵
photodissociation	光离解
cesspool	化粪池
womanlike	女人似
notarial	公证
choking	憋闷的
preadamite	亚当以前
hypothetical	假定
crablet	幼蟹
snowbreak	防雪林
ghostliness	幽灵
pompon	丝球
gangliform	神经节状
tactual	凭感觉
ululate	呜呜地叫
skint	穷光蛋
himyaritic	希米亚里特语的
tumbler	翻筋斗者
dynel	代纳尔
header	标题
unchangeable	不能改变
formulable	可公式化的
fathom	测深
vltava	伏尔塔瓦河
calk	使不漏水
diamante	镶人造钻石的
amoebiasis	阿米巴病
semischolastic	半学术
spoilsman	以获益为目的而支持政党者
unconformity	不一致
jougs	铁颈项圈
erstwhile	往昔
infusive	有影响力的
histogeny	=histogenesis
editorial	主笔
grisly	令人毛骨悚然的
foxy	狡猾的
gambian	冈比亚
pulperia	杂货店
prooflike	表面光亮似新铸样币的
timbre	音品
orthographer	正字法学者
synthetically	合成地
platitudinous	平凡
einsteinian	爱因斯坦的
aar	阿勒河
shroud	裹尸布
phycomycetous	藻菌的
amenable	应服从的
preincubation	预培养
drink	举杯庆贺
grandiose	堂皇的
insnare	落于陷阱
tradespeople	商人们
http	Hypertext
xylophilous	喜木
somnambulist	梦游者
pitchy	沥青
dichotomize	二分
parsimonious	节俭
mandamus	书面训令
omuta	大牟田
gentoo	巴布亚企鹅
knowledge	认识
endoerythrocytic	红血球内的
undissolute	不放纵
gpt	通用终端
co	office
undimmed	不暗淡
balky	执拗
fissive	分裂的
potshot	乱射
cabrite	蜥蜴
fainty	无力的
insinuating	暗示
outlet	出路
heavenly	天空的
bonami	好朋友
ersatz	合成的
pension	养老金
living	活
goalie	守门员
moonish	反复无常的
inspection	检查
photoelectromotive	光电动的
overkind	过分仁慈
eastward	朝东的
esc	转义字符
hypersexual	纵欲
reconstructive	重建的
cannel	烛煤
whine	哭诉
biovular	二卵生双胞胎特有的
permanganate	高锰酸
gcse	General
remediation	补习
imparticipable	不能共有的
antifreezing	抗凝
rescissible	可废除的
redemptive	用于补偿的
pedigreed	有来历的
alu	Logic
francophil	亲法者
spectrogram	光谱照片
poetics	诗学
leafy	树叶茂盛
warn	发出警告
proclivity	倾向
metallize	用金属处理
grown	长满某物的
postvaccinal	种牛痘后
unpleasantness	不愉快的事
postmenopausal	绝经后的
antisickling	抗镰形细胞形成
thebe	塞柏(博茨瓦纳
glout	蹙额
scrobiculate	具粒陷的
hydrophobe	疏水物
obscene	猥亵
power	功率
interspace	留空隙
tab	行走
ninthly	第九
tarnishproof	保持光泽
orins	Ridge
sec	SEC
thundering	雷一般响亮
preproduction	试生产的
nonassessable	除缴投资额外免除任何费用或责任的的
herbivorous	食草
pucka	份量充足的
mealworm	生于谷类
floriferous	多花
determinist	决定论者
aglisten	光辉耀眼
unmotherly	不像母亲
junco	灯芯草雀
out	出声地
brotherly	亲兄弟般的
theanthropic	具有神人两性
hackneyed	常见的
impugnable	可责难
altar	祭坛
curtal	切短物
declinable	格变化的
pattern	仿造
seam	使留下伤痕
treasure	储藏
voluntary	自愿的
popular	通俗
coral	珊瑚
storytelling	说故事
copernican	哥白尼的
spectrophotofluorometer	荧光分光光度计
tallness	高度
cytotaxonomy	染色体形态之分类法
everything	万事
employment	利用
clarionet	单簧管
nfd	Newfoundland
wftu	Federation
somnolency	梦幻
lumbrical	蚓状肌的
waveringly	摇摆地
chickadee	山雀
unbeknown	未知
woman	妇女
desinence	字尾
exohormone	外激素
ergastic	后含的
crankpin	曲柄梢
andante	缓慢的
chanceless	无机会的
irisated	彩虹色
superconduct	无电阻导电
firstname	名
marriageable	适宜结婚的
ppt	trillion
radio	无线电通信
animating	鼓舞生气
excogitative	发明的
goaty	淫乱
supermundane	非现世的
enthralling	迷人的
raucity	沙哑
remould	改铸
girn	咆哮
rodent	侵蚀性的
nemophila	喜林草属植物
zincate	锌酸盐
octu	Officer
unpaired	不成双的
imperceptible	极细微
girder	钢桁的支架
marxist	马克思主义
disendow	没收基金
switzerite	斯威策矿
satisfy	使相信
profitless	无益
nasion	鼻根
en	在……中
medieval	原始的
disconnexion	分开
ferruginous	含铁
deromanticize	去除……的浪漫色彩
convocation	集会
stopgap	权宜的
erotomania	色情狂
civil	国民
font	洗礼盘
caprine	公山羊的
shorn	shear的过去分词
language	语言表达能力
jocosely	诙谐
vdt	Video
provocation	刺激
magneton	磁子
dairy	奶油
eliminant	消元式
batrachian	蛙类的
scrubwoman	女清洁工
observer	遵守者
ungrounded	无根据的
put	摆
vulgate	公认的文本
preterlegal	不根据法律
cumbrous	成负担
mactation	屠宰
medium	中间的
denish	丹麦人
washin	机翼正扭转
iatric	医疗的
mcg	microgram
marrowy	有力
molet	=mullet
monstrous	怪异的
grits	粗面粉
confusion	混乱
compound	化合物
cadre	骨骼
beadswoman	祈求冥福之女人
canary	金丝雀
unparliamentary	不根据议会法
ishmael	被遗弃的人
hun	匈奴
grindingly	虐待
bellpull	钟的拉索
olent	有香味的
liffey	利菲河
elbowy	用肘推的
sheepish	懦弱的
lick	舔
consociation	联合
fulminatory	爆鸣
heartwood	赤木质
endogenesis	内源
tsinghai	见Qinghai
inadequateness	不适当
disinteresting	无聊的
flecklessly	完美
posteriorly	后来地
thresh	反复做
implied	暗指
derby	赛马会
brutality	残忍
pedestrian	徒步
heavy	繁重的
kook	疯狂的
sideslip	私生子
slavish	专横
indus	印度西北部的河流
swbs	by
carmarthenshire	卡马森郡
endothermic	吸热的
notability	显要人物
easterly	东
spinsterish	似老处女的
enterological	肠病学
elicit	引起
gmwu	Workers''Union普通及市政工人工会
tetrathlon	四项运动
hinduise	=Hinduize
tilth	耕
astutely	敏捷
viatic	旅行
unfilterable	非可过滤
haemophilia	出血不止症
murra	默勒石
ursine	象熊的
hydrotactic	趋水性
huggermugger	杂乱
wisecrack	俏皮话
weave	织法
geodynamic	地球动力学的
pdsa	Dispensary
donnish	象大学宿舍的学监一样
record	档案
plethysmogram	体积描记图
esplanade	散步路
comparison	比较关系
elf	恶作剧的人
safely	安全地
swung	swing的过去式和过去分词
compulsory	必需做的
forgetive	富有想像力的
elaphine	似红鹿的
thy	你
immusical	对音乐不感兴趣的
rubberware	goods
causticity	尖刻
scorzalite	多铁天蓝石
rhinopharyngitis	鼻咽炎
derision	嘲笑
moundsman	棒球投手
metalsmith	金属加工技工
cretinoid	矮呆子样
apt	适当
transcurrent	横贯
savoury	味香的
federal	联邦制的
tabor	敲小鼓
anticlastic	鞍形面
exist	生存
ostensible	虚假的
trample	踩坏
bissau	比绍
deontic	义务的
torque	转矩
charily	小心谨慎地
nujiang	怒江
relative	亲戚
savage	凶猛的
fluorescent	莹光
cosmoid	具有齿鳞质
barathea	巴拉西厄
dnase	=deoxyribonuclease
bars	马上的齿龈
trilemma	三难推理
infelicific	不带来幸福
jurat	市政长官
flippantly	没礼貌
roweite	硼锰钙石
inherent	与生俱来
thyratron	闸流管
tail	成为散乱的行列
anomalous	反常
semiarid	雨量非常少的
casuistics	良心论
vicereine	女总督
pun	双关语
posh	优雅
stp	Pair
jury	临时应急的
consecrated	被视为神圣的
embryonated	含胚的
frontlash	逆反应
pert	爱管闲事
roundline	细圆绳
percipient	理解的
schizophyte	裂植植物
ddk	Kit
gallionic	迦流的
bronchobuster	牧童
intrazonal	在地区内的
caudillismo	专制独裁的理论
slurry	泥浆
popish	教皇制度的
largess	赠送
antiodontalgic	止牙痛剂
inextricably	解不开地
bulbiferous	生球根的
unheroical	不英勇
eric	Information
disconcert	破坏
highness	殿下
motherboard	母板
crackers	精神错乱的
tricolor	三色的
tinner	锡矿工人
enharmonic	等音的
frances	女子名
radc	Army
crudeness	生硬
confect	混合调制
testaceous	红砖色的
ostentatious	卖弄的
speedup	加速
sullenly	不高兴地
assistor	帮助者
humpty	软垫矮座椅
desterilization	解除货币管制
linguiform	舌状
handle	手感
mendable	可更正的
kuru	新几内亚震颤病
protomorphic	原始形式
caip	基于有线电视的IP网通信
staniel	=kestrel
agiotage	汇兑业务
quick	迅速的
worrying	令人担心
dreadnaught	无畏
hlf	Foundation心肺基金会
hircine	山羊般气味的
spirituelle	活泼的
filter	滤波器
yaup	大声喊叫
tripartite	三重
liminary	卷头
founderous	泥泞
radiantly	辉煌地
puzzleheadedness	思想混乱
glum	阴沉
roofless	无家可归
basilisk	一种老式火炮
tacit	默许的
rectangularity	成长方形
respectant	面对面
nummary	货币的
kanu	National
grammatical	合乎文法
unordinary	不普通的
inescapable	不可避免的
landmeasure	面积单位
hiding	痛打
anemometer	风速计
pancarditis	全心炎
bengalese	孟加拉人
eftsoon	又
unbalanced	不均衡
nether	下层社会的
postrider	骑马的邮差
telegraphoscope	电传照相机
taintless	纯洁清白的
mephitis	恶臭
interborough	区与区之间
gain	利润
reddish	略带红色
dehumanize	使成兽性
disinteresting	无聊
pride	骄傲
periclean	伯里克利统治时期的
parametrical	参量
pim	Personal
shock	蓬乱
lallygag	闲逛
departmentalise	9di:pB:t`mentElaIz/
hydromantic	水占术的
sanctum	密室
mentation	心理状态
aca	Chartered
truckle	靠小脚轮移动
parenthetical	附加说明
thrombogen	凝血酶原
tapster	酒吧的酒保
domesticate	使安于土
venturous	大胆的
dhu	12月
unprofitable	没有用
breathless	喘不过气来的
factuality	实在性
gam	腿
sullenly	不高兴
surge	急放
farrandly	壮丽地
fruit	果实
troxidone	三甲双酮
contextual	前后关系的
improbability	未必有之事
reperforator	自动纸带穿孔机
offhanded	立即
traditional	传说的
verjuiced	酸
pontifical	罗马教皇
skin	长皮
chlorophyllous	a
reggeism	theory
backveld	偏僻闭塞的乡村地区
torchy	感伤恋歌式的
abactinal	无触角的
cetaceum	鲸脑
replevy	追回
inobservant	疏忽
ldh	dehydrogenase
keap	拦截
charm	用符咒
uropod	尾肢
tension	不安
dyeing	染色工艺
floc	絮状物
subhuman	类人的
cytotropic	向细胞的
skerry	低小岛
laughing	可笑的
goddam	诅咒
worrying	焦虑的
persistence	坚持
photronic	光电池
slubberdegullion	邋遢懒散的人
balsamic	如香油的
tax	对……征税
capitular	牧师会的
fore	在船头
dicephalous	有两个头的
bedevil	使苦恼
enclitic	附属的
unproposed	未提议的
vaquero	牧童
adultoid	类成虫
restively	倔强
mendable	可改进的
unpleated	无褶的
udt	Data
sharper	削具
divine	神圣
zpg	Zero
laceless	无花边的
wholesomely	卫生地
jugulate	顿挫
hardy	坚硬
peritectic	包晶的
boxtree	黄杨树
plethysmograph	体积描记器
forefeel	预感到
reformatory	少年管教所
epyllion	小型史诗
consultation	咨询
apolitically	非政治
riffle	湍流
sizz	发嘶嘶声
tryout	试验
length	音长
muley	无角的
niceness	美好的事物
prosody	诗体论
ironclad	装甲的
grayer	灰色
palestra	角力场
arginase	精氨酸酶
aerial	空气
bodiless	无体的
avulse	抽出
lentisk	乳香树
genipap	茜草属常绿树
amphipathic	两性分子的
root	扎根
lotic	激流群落
edifying	有益
cretinous	白痴病的
rubidium	铷
sinopite	铁石英
buckshee	免费的
bandspreading	频带扩展
aok	一切正常的
